population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year_start,year_end,val,upper,lower
1,All Population,1,Deaths,112,Grenada,3,Both,8,15-19 years,471,Kidney cancer,3,Rate,1990,2023,-0.1061692148114527,0.20190131296723676,-0.336930351610289
1,All Population,1,Deaths,112,Grenada,3,Both,39,0-14 years,471,Kidney cancer,3,Rate,1990,2023,-0.486419274298578,-0.36024348710103216,-0.6028471559090418
1,All Population,1,Deaths,112,Grenada,3,Both,284,20-54 years,471,Kidney cancer,3,Rate,1990,2023,0.14858735574179752,0.40052026479276476,-0.09617847015770699
1,All Population,1,Deaths,112,Grenada,3,Both,8,15-19 years,474,Bladder cancer,3,Rate,1990,2023,-0.17722045649239695,0.12383093254329436,-0.4150016689672541
1,All Population,1,Deaths,112,Grenada,3,Both,284,20-54 years,474,Bladder cancer,3,Rate,1990,2023,0.2827229415863284,0.6224098193443826,0.030228652966575845
1,All Population,1,Deaths,112,Grenada,3,Both,8,15-19 years,487,Leukemia,3,Rate,1990,2023,-0.3025877778968554,-0.03549198505811151,-0.4835598438221849
1,All Population,1,Deaths,112,Grenada,3,Both,39,0-14 years,487,Leukemia,3,Rate,1990,2023,-0.5419296268907176,-0.41420327426788367,-0.6391437389902218
1,All Population,1,Deaths,112,Grenada,3,Both,284,20-54 years,487,Leukemia,3,Rate,1990,2023,-0.23191842707344643,-0.0499070987699658,-0.3751217528474181
1,All Population,1,Deaths,40,Turkmenistan,3,Both,284,20-54 years,423,Larynx cancer,3,Rate,1990,2023,-0.4462911821337278,-0.3009642020002022,-0.5612049293147228
1,All Population,1,Deaths,40,Turkmenistan,3,Both,8,15-19 years,426,"Tracheal, bronchus, and lung cancer",3,Rate,1990,2023,-0.4274188011178873,-0.20388190725261532,-0.6045760003014973
1,All Population,1,Deaths,40,Turkmenistan,3,Both,284,20-54 years,426,"Tracheal, bronchus, and lung cancer",3,Rate,1990,2023,-0.3788946110534585,-0.22187617265486734,-0.5016707787319975
1,All Population,1,Deaths,40,Turkmenistan,3,Both,8,15-19 years,429,Breast cancer,3,Rate,1990,2023,0.05064733577980734,0.5218398088591201,-0.28665552228754215
1,All Population,1,Deaths,184,Mozambique,3,Both,8,15-19 years,471,Kidney cancer,3,Rate,1990,2023,-0.4281094764644256,0.004893567090332528,-0.712653151669691
1,All Population,1,Deaths,184,Mozambique,3,Both,39,0-14 years,471,Kidney cancer,3,Rate,1990,2023,-0.4918031589296056,0.02349862694522414,-0.7553866790286703
1,All Population,1,Deaths,184,Mozambique,3,Both,284,20-54 years,471,Kidney cancer,3,Rate,1990,2023,-0.37629295376318184,-0.07739516725982104,-0.6572479268342439
1,All Population,1,Deaths,184,Mozambique,3,Both,8,15-19 years,474,Bladder cancer,3,Rate,1990,2023,-0.6022697990939322,-0.24272342584780293,-0.8131438667664324
1,All Population,1,Deaths,184,Mozambique,3,Both,284,20-54 years,474,Bladder cancer,3,Rate,1990,2023,-0.5943061819566181,-0.3071541546483548,-0.7852214363941447
1,All Population,1,Deaths,184,Mozambique,3,Both,8,15-19 years,487,Leukemia,3,Rate,1990,2023,-0.5361532251203143,-0.2594426828809031,-0.7313005437933182
1,All Population,1,Deaths,184,Mozambique,3,Both,39,0-14 years,487,Leukemia,3,Rate,1990,2023,-0.5916301379121333,-0.2800489795953478,-0.7643358340975458
1,All Population,1,Deaths,184,Mozambique,3,Both,284,20-54 years,487,Leukemia,3,Rate,1990,2023,-0.4382522547701273,-0.17643525804246962,-0.6709167429656789
1,All Population,1,Deaths,94,Switzerland,3,Both,8,15-19 years,471,Kidney cancer,3,Rate,1990,2023,-0.4907271539844452,-0.3668034969566534,-0.5895616992263674
1,All Population,1,Deaths,94,Switzerland,3,Both,39,0-14 years,471,Kidney cancer,3,Rate,1990,2023,-0.5504225195299481,-0.41652654259445165,-0.6486308603076699
