Entity,Code,Year,Colorectal cancer,Ovarian cancer,Stomach cancer,Lung cancer,Liver cancer,Pancreatic cancer
Australia,AUS,1995,58,36,23.9,12.6,11.2,5.66
Australia,AUS,1996,57.9,34.3,24.6,12.7,12.2,5.82
Australia,AUS,1997,58.7,35,24.6,13,11,6.43
Australia,AUS,1998,59.6,35,25.6,13.5,13.4,6.48
Australia,AUS,1999,60.6,36.4,26.5,13.8,13.3,6.72
Australia,AUS,2000,61.3,36.1,28,13.9,15.2,6.93
Australia,AUS,2001,62,35.7,27.8,14.2,13.9,7.75
Australia,AUS,2002,63.3,36.1,28.1,14.7,14.4,7.74
Australia,AUS,2003,63.9,36.8,27.7,15.2,14.6,7.23
Australia,AUS,2004,64.4,36.9,28.3,15.2,15.6,7.53
Australia,AUS,2005,64.6,37.7,28.7,15.6,16.7,8.3
Australia,AUS,2006,65.4,38.9,28.3,16.2,17.1,8.16
Australia,AUS,2007,66.9,40.2,29.2,16.7,17.7,8.21
Australia,AUS,2008,68.3,39.9,29.3,17.1,18.7,8.53
Australia,AUS,2009,68.7,40,30,17.5,19.8,10
Australia,AUS,2010,68.4,40.2,30.4,17.7,20.2,10.2
Australia,AUS,2011,69.6,40.6,31.3,18.5,20.6,10.9
Australia,AUS,2012,70.2,40.9,31.3,19.5,21.3,11.8
Australia,AUS,2013,70.7,42.5,32.2,20.1,21,13.4
Australia,AUS,2014,70.9,43.7,32.8,21.3,21.3,14.3
Canada,CAN,1995,56.3,34.7,20.5,14.9,11.7,6.59
Canada,CAN,1996,56.9,33.9,21.5,15.3,12.3,6.53
Canada,CAN,1997,57.5,34.3,21.8,15.5,13.5,7.05
Canada,CAN,1998,58.5,34.7,22.6,15.8,13.3,7.38
Canada,CAN,1999,59.3,36.7,22.7,15.8,14.1,7.46
Canada,CAN,2000,59.9,37.6,23.3,16.2,14.2,8.05
Canada,CAN,2001,60.7,38.3,23.7,16.8,16.8,8.44
Canada,CAN,2002,61.4,38,24.8,17,17.8,8.99
Canada,CAN,2003,61.7,37.6,25.3,16.9,19,8.69
Canada,CAN,2004,61.6,37.7,25.5,16.7,17.8,8.58
Canada,CAN,2005,62.1,37.7,25.3,17.1,17.2,8.5
Canada,CAN,2006,62.8,39.1,25,17.7,17.8,8.66
Canada,CAN,2007,63.8,40.2,25.4,18,18.7,9.01
Canada,CAN,2008,64.7,41.1,25.6,18.5,19.6,9.23
Canada,CAN,2009,65.7,41,26.7,18.9,19.1,9.97
Canada,CAN,2010,65.1,40.3,26.6,19.4,19.7,10.1
Canada,CAN,2011,66.1,41.3,27.7,20.3,19.3,10.5
Canada,CAN,2012,66.6,41,28.9,21.1,18.6,10.8
Canada,CAN,2013,67.1,41.1,29.7,22,19.1,11.3
Canada,CAN,2014,67.5,41.1,30.1,22.6,18.6,11.4
Denmark,DNK,1995,49.2,29.8,16.1,8.03,2.73,2.64
Denmark,DNK,1996,47,30.7,14.7,7.26,3.09,2.88
Denmark,DNK,1997,47.6,31.7,14,7.44,3.34,3.2
Denmark,DNK,1998,47.8,32.3,13.9,7.92,2.88,3.69
Denmark,DNK,1999,50,32.8,13.7,8.77,2.74,3.31
Denmark,DNK,2000,50.4,33.5,14.3,9.47,2.99,3.28
Denmark,DNK,2001,51.4,33.4,12.7,9.26,3.24,3.08
Denmark,DNK,2002,52.7,33.5,14.1,9.59,4.16,3.75
