population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,rei_id,rei_name,metric_id,metric_name,year_start,year_end,val,upper,lower
1,All Population,1,Deaths,7,Democratic People's Republic of Korea,3,Both,27,Age-standardized,414,Stomach cancer,98,Tobacco,2,Percent,1990,2023,-0.23774853104186847,0.32496766773037505,-0.5452787335634746
1,All Population,1,Deaths,7,Democratic People's Republic of Korea,3,Both,27,Age-standardized,411,Esophageal cancer,98,Tobacco,2,Percent,1990,2023,-0.25542505132988014,0.09976764560907066,-0.5103378791405913
1,All Population,1,Deaths,7,Democratic People's Republic of Korea,3,Both,27,Age-standardized,426,"Tracheal, bronchus, and lung cancer",98,Tobacco,2,Percent,1990,2023,-0.13212775164738827,0.1642693168868483,-0.34187819606666137
1,All Population,1,Deaths,7,Democratic People's Republic of Korea,3,Both,27,Age-standardized,417,Liver cancer,98,Tobacco,2,Percent,1990,2023,-0.19795731329077934,0.33269256669529046,-0.531358264664703
1,All Population,1,Deaths,7,Democratic People's Republic of Korea,3,Both,27,Age-standardized,456,Pancreatic cancer,98,Tobacco,2,Percent,1990,2023,-0.21291841984450327,0.27797141982638957,-0.5337930301707543
1,All Population,1,Deaths,7,Democratic People's Republic of Korea,3,Both,27,Age-standardized,423,Larynx cancer,98,Tobacco,2,Percent,1990,2023,-0.06133286211638071,0.18372140927290687,-0.28092113374815814
1,All Population,1,Deaths,7,Democratic People's Republic of Korea,3,Both,27,Age-standardized,429,Breast cancer,98,Tobacco,2,Percent,1990,2023,-0.02208084914900992,0.13719497926923796,-0.15931495856768907
1,All Population,1,Deaths,7,Democratic People's Republic of Korea,3,Both,27,Age-standardized,432,Cervical cancer,98,Tobacco,2,Percent,1990,2023,-0.005469540407325444,2.883044954103215,-0.7504927501897463
1,All Population,1,Deaths,7,Democratic People's Republic of Korea,3,Both,27,Age-standardized,438,Prostate cancer,98,Tobacco,2,Percent,1990,2023,-0.20782470356387922,0.192284831579724,-0.4996559273404631
1,All Population,1,Deaths,7,Democratic People's Republic of Korea,3,Both,27,Age-standardized,471,Kidney cancer,98,Tobacco,2,Percent,1990,2023,-0.26196391228975874,0.14753067557583768,-0.5512275810730121
1,All Population,1,Deaths,7,Democratic People's Republic of Korea,3,Both,27,Age-standardized,474,Bladder cancer,98,Tobacco,2,Percent,1990,2023,-0.22459411717068686,0.20362984519273988,-0.5222344562977822
1,All Population,1,Deaths,7,Democratic People's Republic of Korea,3,Both,27,Age-standardized,447,Nasopharynx cancer,98,Tobacco,2,Percent,1990,2023,-0.3247734324273511,0.04597198529495448,-0.5795816059450056
1,All Population,1,Deaths,7,Democratic People's Republic of Korea,3,Both,27,Age-standardized,450,Other pharynx cancer,98,Tobacco,2,Percent,1990,2023,-0.17974496091133993,0.12801141361020374,-0.46994474832746785
1,All Population,1,Deaths,26,Papua New Guinea,3,Both,27,Age-standardized,417,Liver cancer,98,Tobacco,2,Percent,1990,2023,-0.10058982189578412,0.4210607419897709,-0.4253959575581274
1,All Population,1,Deaths,28,Solomon Islands,3,Both,27,Age-standardized,423,Larynx cancer,98,Tobacco,2,Percent,1990,2023,-0.02707326112908484,0.08354434284907994,-0.1351075361136725
1,All Population,1,Deaths,28,Solomon Islands,3,Both,27,Age-standardized,411,Esophageal cancer,98,Tobacco,2,Percent,1990,2023,-0.08747209075087882,0.23802909713545697,-0.3355984949160903
1,All Population,1,Deaths,28,Solomon Islands,3,Both,27,Age-standardized,414,Stomach cancer,98,Tobacco,2,Percent,1990,2023,-0.1302763381633117,0.3106091794247999,-0.4629117051041121
1,All Population,1,Deaths,28,Solomon Islands,3,Both,27,Age-standardized,450,Other pharynx cancer,98,Tobacco,2,Percent,1990,2023,-0.043978999800462625,0.2198739998989503,-0.2657043567486984
1,All Population,1,Deaths,28,Solomon Islands,3,Both,27,Age-standardized,426,"Tracheal, bronchus, and lung cancer",98,Tobacco,2,Percent,1990,2023,-0.05931464182986211,0.18043303069173566,-0.26004574800562
1,All Population,1,Deaths,26,Papua New Guinea,3,Both,27,Age-standardized,423,Larynx cancer,98,Tobacco,2,Percent,1990,2023,-0.09663530092256334,0.13638591262462604,-0.2958960747401962
1,All Population,1,Deaths,26,Papua New Guinea,3,Both,27,Age-standardized,444,Lip and oral cavity cancer,98,Tobacco,2,Percent,1990,2023,-0.10058953801558086,0.3761237507245492,-0.43312856401413696
1,All Population,1,Deaths,28,Solomon Islands,3,Both,27,Age-standardized,456,Pancreatic cancer,98,Tobacco,2,Percent,1990,2023,-0.07332151849549233,0.33459594364951817,-0.3876728464575683
1,All Population,1,Deaths,41,Uzbekistan,3,Both,27,Age-standardized,423,Larynx cancer,98,Tobacco,2,Percent,1990,2023,-0.05351273043529507,0.09379662059785074,-0.18364686030602229
1,All Population,1,Deaths,28,Solomon Islands,3,Both,27,Age-standardized,429,Breast cancer,98,Tobacco,2,Percent,1990,2023,0.12897683020202486,0.3348590807547115,-0.06981510799476022
1,All Population,1,Deaths,26,Papua New Guinea,3,Both,27,Age-standardized,432,Cervical cancer,98,Tobacco,2,Percent,1990,2023,-0.10347060545677084,0.5943542716151934,-0.45624840589514815
1,All Population,1,Deaths,26,Papua New Guinea,3,Both,27,Age-standardized,438,Prostate cancer,98,Tobacco,2,Percent,1990,2023,-0.223203129320832,0.4567268020555996,-0.5984159518081613
1,All Population,1,Deaths,26,Papua New Guinea,3,Both,27,Age-standardized,447,Nasopharynx cancer,98,Tobacco,2,Percent,1990,2023,-0.05639736182628411,0.3964369880849439,-0.36690107640637953
1,All Population,1,Deaths,26,Papua New Guinea,3,Both,27,Age-standardized,487,Leukemia,98,Tobacco,2,Percent,1990,2023,-0.21245823366442232,0.3792546946493467,-0.5072874642447343
1,All Population,1,Deaths,41,Uzbekistan,3,Both,27,Age-standardized,426,"Tracheal, bronchus, and lung cancer",98,Tobacco,2,Percent,1990,2023,-0.05073016805857933,0.12100367855189259,-0.20566108324696944
1,All Population,1,Deaths,41,Uzbekistan,3,Both,27,Age-standardized,450,Other pharynx cancer,98,Tobacco,2,Percent,1990,2023,-0.07127228598898966,0.259477645960397,-0.3648873200515937
1,All Population,1,Deaths,26,Papua New Guinea,3,Both,27,Age-standardized,441,Colon and rectum cancer,98,Tobacco,2,Percent,1990,2023,-0.14281502589137532,0.37701831978883,-0.48704800812639615
1,All Population,1,Deaths,26,Papua New Guinea,3,Both,27,Age-standardized,474,Bladder cancer,98,Tobacco,2,Percent,1990,2023,-0.20908041066122188,0.3194837596074496,-0.5134044819994728
1,All Population,1,Deaths,28,Solomon Islands,3,Both,27,Age-standardized,444,Lip and oral cavity cancer,98,Tobacco,2,Percent,1990,2023,-0.0898148520858269,0.2289442057196735,-0.3694758173949171
1,All Population,1,Deaths,20,Viet Nam,3,Both,27,Age-standardized,438,Prostate cancer,98,Tobacco,2,Percent,1990,2023,-0.08012989706823075,0.14323883080477107,-0.30125689498657227
1,All Population,1,Deaths,20,Viet Nam,3,Both,27,Age-standardized,441,Colon and rectum cancer,98,Tobacco,2,Percent,1990,2023,-0.11258232098961901,0.255356228045074,-0.3708164962559152
1,All Population,1,Deaths,24,Marshall Islands,3,Both,27,Age-standardized,411,Esophageal cancer,98,Tobacco,2,Percent,1990,2023,-0.011527106698115278,0.5907177046354704,-0.3541204835354971
1,All Population,1,Deaths,24,Marshall Islands,3,Both,27,Age-standardized,414,Stomach cancer,98,Tobacco,2,Percent,1990,2023,-0.06179118579409343,0.5889758851423431,-0.4609421143173572
1,All Population,1,Deaths,20,Viet Nam,3,Both,27,Age-standardized,444,Lip and oral cavity cancer,98,Tobacco,2,Percent,1990,2023,-0.061745638569127605,0.22395724688788082,-0.284617943240537
1,All Population,1,Deaths,24,Marshall Islands,3,Both,27,Age-standardized,426,"Tracheal, bronchus, and lung cancer",98,Tobacco,2,Percent,1990,2023,-0.039826345987424384,0.255378251394098,-0.26247425144758313
1,All Population,1,Deaths,22,Fiji,3,Both,27,Age-standardized,444,Lip and oral cavity cancer,98,Tobacco,2,Percent,1990,2023,-0.3112570457041894,0.028369038575311076,-0.5720612980107904
1,All Population,1,Deaths,20,Viet Nam,3,Both,27,Age-standardized,487,Leukemia,98,Tobacco,2,Percent,1990,2023,0.17944140195159486,0.7889425863665671,-0.1907397071674357
1,All Population,1,Deaths,47,Czechia,3,Both,27,Age-standardized,423,Larynx cancer,98,Tobacco,2,Percent,1990,2023,-0.07344211863619646,-0.024066919351806465,-0.1277689097358693
1,All Population,1,Deaths,47,Czechia,3,Both,27,Age-standardized,447,Nasopharynx cancer,98,Tobacco,2,Percent,1990,2023,-0.16078751462412993,0.05701740470256013,-0.32327783399000454
1,All Population,1,Deaths,28,Solomon Islands,3,Both,27,Age-standardized,471,Kidney cancer,98,Tobacco,2,Percent,1990,2023,-0.12991460363651766,0.23124589989675812,-0.40326828452831864
1,All Population,1,Deaths,26,Papua New Guinea,3,Both,27,Age-standardized,450,Other pharynx cancer,98,Tobacco,2,Percent,1990,2023,-0.09862794239268227,0.2751816035846368,-0.39706849023154595
1,All Population,1,Deaths,41,Uzbekistan,3,Both,27,Age-standardized,456,Pancreatic cancer,98,Tobacco,2,Percent,1990,2023,0.1387780312095617,0.7351238807464766,-0.29718993734045596
1,All Population,1,Deaths,26,Papua New Guinea,3,Both,27,Age-standardized,456,Pancreatic cancer,98,Tobacco,2,Percent,1990,2023,-0.15484812345145874,0.44560224503461254,-0.494832715381515
1,All Population,1,Deaths,20,Viet Nam,3,Both,27,Age-standardized,423,Larynx cancer,98,Tobacco,2,Percent,1990,2023,-0.012701343271540464,0.06745389013328691,-0.07676150288573871
1,All Population,1,Deaths,20,Viet Nam,3,Both,27,Age-standardized,447,Nasopharynx cancer,98,Tobacco,2,Percent,1990,2023,-0.05941768682984775,0.24236091981272073,-0.29627929558017124
1,All Population,1,Deaths,20,Viet Nam,3,Both,27,Age-standardized,450,Other pharynx cancer,98,Tobacco,2,Percent,1990,2023,-0.05046937692434369,0.10357575813032424,-0.17730896503153976
1,All Population,1,Deaths,24,Marshall Islands,3,Both,27,Age-standardized,417,Liver cancer,98,Tobacco,2,Percent,1990,2023,-0.0016151659453049099,0.49328334780364136,-0.3902486142495112
1,All Population,1,Deaths,28,Solomon Islands,3,Both,27,Age-standardized,417,Liver cancer,98,Tobacco,2,Percent,1990,2023,-0.017858854885539243,0.40361675253852614,-0.3374768035989726
1,All Population,1,Deaths,47,Czechia,3,Both,27,Age-standardized,450,Other pharynx cancer,98,Tobacco,2,Percent,1990,2023,-0.13179065723945882,-0.005515225500795076,-0.2526458254056305
